,country_id,country_name,location_id,location_name,lat,lon,region_name
843,264,France,851,Champagne-Ardenne,48.7934092,4.4725249000000495,Europe
844,264,France,852,Franche-Comte,47.1343207,6.02230159999999,Europe
845,264,France,853,Ile-de-France,48.8499198,2.63704110000003,Europe
846,264,France,854,Languedoc-Roussillon,43.5912356,3.25836260000005,Europe
847,264,France,855,Limousin,45.8932231,1.5696017999999898,Europe
848,264,France,856,Lorraine,48.8744233,6.20809320000001,Europe
849,264,France,857,Midi-Pyrenees,44.0859426,1.52086239999994,Europe
850,264,France,858,Nord-Pas-de-Calais,50.4801153,2.7937265000000497,Europe
851,264,France,859,Lower Normandy,48.8788472,-0.515749199999959,Europe
852,264,France,860,Upper Normandy,49.524641,0.8828329000000391,Europe
853,264,France,861,Pays de la Loire,47.7632836,-0.329968699999995,Europe
854,264,France,862,Picardy,49.6636127,2.52807319999999,Europe
855,264,France,863,Poitou-Charentes,45.903552,-0.30918369999994905,Europe
856,264,France,864,Provence-Alpes-Cote d'Azur,43.9351691,6.06791939999994,Europe
857,264,France,865,Rhone-Alpes,45.1695797,5.45028209999998,Europe
883,942,Italy,891,Abruzzo,42.1920119,13.7289167,Europe
884,942,Italy,892,Aosta Valley,45.7388878,7.42618659999994,Europe
885,942,Italy,893,Apulia,40.7928393,17.1011931,Europe
886,942,Italy,894,Basilicata,40.6430766,15.9699878,Europe
887,942,Italy,895,Calabria,39.3087714,16.3463791,Europe
888,942,Italy,896,Campania,41.1099473,14.8475139,Europe
889,942,Italy,897,Emilia-Romagna,44.5967607,11.2186396,Europe
890,942,Italy,898,Friuli-Venezia Giulia,46.2259177,13.1033646,Europe
891,942,Italy,899,Lazio,41.6552418,12.989615,Europe
892,942,Italy,900,Liguria,44.3167917,8.39649380000003,Europe
893,942,Italy,901,Lombardy,45.4790671,9.84524329999999,Europe
894,942,Italy,902,Marche,43.5058744,12.989615,Europe
895,942,Italy,903,Molise,41.6308147,14.4936511,Europe
896,942,Italy,904,Piedmont,45.05,7.52,Europe
897,942,Italy,905,Trentino-Alto Adige,46.7340955,11.2888015,Europe
898,942,Italy,906,Tuscany,43.7710513,11.2486208,Europe
899,942,Italy,907,Umbria,42.938004,12.6216211,Europe
900,942,Italy,908,Veneto,45.7623333,11.690976,Europe
912,264,France,999,Matthew and Hunter Islands (and Walpole),-22.3698234,171.4387619,Pacific Ocean
913,976,United Kingdom,1000,Outer Hebrides,57.936588,-9.4725536,Europe
914,976,United Kingdom,1001,St. Kilda,57.8134453,-8.6188274,Europe
